Person,FuD-ID,Feld,VIAF-Nummer
"Bacon, Francis",6461,viaf,http://viaf.org/viaf/31992319
"Baden, Stéphanie von, geb. de Beauharnais",2167,viaf,http://viaf.org/viaf/52482346
"Baecker, Casimir (Adoptivsohn der Madame de Genlis)",4991,viaf,http://viaf.org/viaf/316450043
"Bagensky, Monsieur",4519,viaf,
"Baillère, Jean-Baptiste (?) (Buchhändler)",5460,viaf,http://viaf.org/viaf/54138320
"Bailleul, Jacques-Charles",3060,viaf,http://viaf.org/viaf/5028910
"Bailly, Jean-Louis-Armand",2594,viaf,
"Balbi, Adriano",6419,viaf,http://viaf.org/viaf/27053323
"Ballande, Hilarion",6511,viaf,http://viaf.org/viaf/54138320
"Balleyguier, Eugène (Pseud. Loudun)",3169,viaf,http://viaf.org/viaf/36976155
"Ballin, Madame",5868,viaf,
"Ballin, Monsieur (Betreiber des Internats in Brüssel bis 1828)",5406,viaf,
"Baltard, Louis Pierre",4269,viaf,http://viaf.org/viaf/64137052
"Balzac, Honoré de",2794,viaf,http://viaf.org/viaf/29529595
"Banvey, Monsieur",5795,viaf,
"Baour-Lormian, Pierre",4146,viaf,http://viaf.org/viaf/46756933
"Bapst, Monsieur",6047,viaf,
"Bar, Michel",5027,viaf,
"Baral, Monsieur de",2444,viaf,
"Barante, Prosper Brugière, baron de",4438,viaf,http://viaf.org/viaf/9841106
"Barbé-Marbois, François",5463,viaf,http://viaf.org/viaf/9958036
"Barbié du Bocage, Jean-Denis",1892,viaf,http://viaf.org/viaf/19980933
"Barbier, Antoine-Alexandre",1893,viaf,http://viaf.org/viaf/7386511
"Barbier, Louis-Nicolas",2152,viaf,http://viaf.org/viaf/32738691
"Barbier, Madame",4659,viaf,
"Barbier, Monsieur",5365,viaf,
"Barbier, Monsieur (2. Sohn des Antoine-Alexandre)",4278,viaf,
"Barbier-Vémars, Joseph-Nicolas",2966,viaf,http://viaf.org/viaf/227063974
"Bard, Charles Joseph",3758,viaf,http://viaf.org/viaf/19830719
"Bardeul, Monsieur",6569,viaf,
"Barère de Vieuzac, [Bertrand]",4002,viaf,http://viaf.org/viaf/2581204
"Barot, Monsieur (Biographie des contemporains)",5889,viaf,
"Barrachin, Louis-Gaspard",6267,viaf,http://viaf.org/viaf/253314866
"Barrault (de Saint-André?), Monsieur",5419,viaf,
"Barrault, Madame, geb. de Saint-André",3105,viaf,
"Barré, Pierre-Yves",3522,viaf,http://viaf.org/viaf/73849627
"Barrot, Odilon",6347,viaf,http://viaf.org/viaf/121746955
"Barry, Jeanne Bécu, comtesse du",3435,viaf,http://viaf.org/viaf/36927917
"Barth, Monsieur (Professor in St Cyr)",5865,viaf,
"Barthe-Labastide, Louis-Jacques-Guillaume",6365,viaf,http://viaf.org/viaf/248330142
