Person,FuD-ID,Feld,URN
"Bélanger, Monsieur",2685,gnd,
"Bélart (?), Monsieur",4000,gnd,
"Belart, Monsieur",5021,gnd,
"Belderbusch, Graf von",4132,gnd,
"Belgiojoso, Cristina Trivulzio",3250,gnd,http://d-nb.info/gnd/119195860
"Bellart, Nicolas-François",3317,gnd,http://d-nb.info/gnd/1053410999
"Bellegarde, Félix de",3325,gnd,
"Belliard, Augustin Daniel, General",3736,gnd,http://d-nb.info/gnd/118116541
"Belliard, Zéphirin",3024,gnd,http://d-nb.info/gnd/1031177477
"Belloc, Louise Swanton",6271,gnd,http://d-nb.info/gnd/115528059
"Belloy, Pierre Laurent Buirette de",2543,gnd,http://d-nb.info/gnd/118666312
"Belmont, Madame (Schauspielerin)",4593,gnd,
Belmonte,5458,gnd,
"Belmontet, Louis",6510,gnd,http://d-nb.info/gnd/171971930
"Beltrami, Giacomo Costantino",3075,gnd,http://d-nb.info/gnd/117584711
"Ben, Madame",2287,gnd,
"Bénard, Abraham-Joseph , gen. Fleury",2553,gnd,http://d-nb.info/gnd/1157591612
"Benevelli, Gräfin (?)",6530,gnd,
"Bénévent, Catherine Noelle Verlée, princesse de Talleyrand, princesse de",4004,gnd,
"Benincasa, Bartolomeo",1895,gnd,http://d-nb.info/gnd/117768502
"Benoist, Pierre-Vincent",2291,gnd,http://d-nb.info/gnd/1067990771
"Benoit, Madame",4067,gnd,
"Benoit, Monsieur",4157,gnd,
"Benserade, Isaac de",3080,gnd,http://d-nb.info/gnd/118658263
"Bensing, Herr (Voltige Lehrer)",5861,gnd,
"Béquet, Étienne",4657,gnd,
"Béranger, Pierre-Jean de",2521,gnd,http://d-nb.info/gnd/118655671
"Berchem, Monsieur",4624,gnd,
Berckenkamp,4905,gnd,
"Berg, Feldmarschall von",5348,gnd,
"Berg, Großherzog von (Siehe Murat)",3268,gnd,
"Bergeon, Madame",5877,gnd,
"Bergeon, Madame P.",2589,gnd,
Berger (Schuhmacher),4922,gnd,
"Berger, Madame",5928,gnd,
"Berger, Monsieur",4782,gnd,
"Bergeron, Madame",4768,gnd,
"Bergheim, Herr",4153,gnd,
"Béringen/Béringer, Monsieur",4902,gnd,
"Béringer, Beatus",5654,gnd,
"Berlier, comtesse de",5005,gnd,
"Berlier, Ehepaar (de?)",4992,gnd,
"Berlier, Théophile (comte)",3598,gnd,http://d-nb.info/gnd/101881622
