Person,Siehe auch,FuD-ID,Feld
Anakreon,"['http://dbpedia.org/resource/Anacreon', 'http://viaf.org/viaf/250706576', 'http://www.portraitindex.de/dokumente/pnd/118649035', 'http://www.wikidata.org/entity/Q213484', 'https://d-nb.info/gnd/1087970717', 'https://d-nb.info/gnd/1089180748', 'https://d-nb.info/gnd/1089758480', 'https://d-nb.info/gnd/118649035/about', 'https://d-nb.info/gnd/174133936', 'https://d-nb.info/gnd/174693656', 'https://d-nb.info/gnd/187625352', 'https://de.wikisource.org/wiki/Anakreon', 'https://kalliope-verbund.info/gnd/118649035', 'https://www.archivportal-d.de/person/gnd/118649035', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/118649035']",3145,gnd
"Ancelot, Jacques-Arsène-François-Polycarpe","['http://catalogue.bnf.fr/ark:/12148/cb12170993c', 'http://dbpedia.org/resource/Jacques-Fran%C3%A7ois_Ancelot', 'http://id.loc.gov/rwo/agents/n81085650', 'http://isni.org/isni/0000000110631090', 'http://viaf.org/viaf/54189354', 'http://www.wikidata.org/entity/Q1677861', 'https://d-nb.info/gnd/116303298/about', 'https://de.wikipedia.org/wiki/Jacques-Fran%C3%A7ois_Ancelot', 'https://en.wikipedia.org/wiki/Jacques-Fran%C3%A7ois_Ancelot', 'https://kalliope-verbund.info/gnd/116303298', 'https://www.archivportal-d.de/person/gnd/116303298', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/116303298']",3789,gnd
"Andraud (de l'Allier), Monsieur",,6601,gnd
"André d'Arbelles, Claude-François",,3318,gnd
"Andrieux, François","['http://catalogue.bnf.fr/ark:/12148/cb11888836g', 'http://dbpedia.org/resource/Fran%C3%A7ois_Andrieux', 'http://id.loc.gov/rwo/agents/no90025909', 'http://isni.org/isni/000000008081539X', 'http://viaf.org/viaf/2465625', 'http://www.portraitindex.de/dokumente/pnd/116310197', 'http://www.wikidata.org/entity/Q970585', 'https://d-nb.info/gnd/116310197/about', 'https://de.wikipedia.org/wiki/Fran%C3%A7ois_Andrieux', 'https://en.wikipedia.org/wiki/Fran%C3%A7ois_Andrieux', 'https://kalliope-verbund.info/gnd/116310197', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/116310197']",1890,gnd
"Angelot, Monsieur",,5259,gnd
"Anglais, Monsieur",,6206,gnd
"Anglemont, Edouard d'","['http://catalogue.bnf.fr/ark:/12148/cb13190262q', 'http://id.loc.gov/rwo/agents/nr99011019', 'http://isni.org/isni/0000000114709879', 'http://viaf.org/viaf/39518799', 'http://www.wikidata.org/entity/Q274485', 'https://d-nb.info/gnd/122465245/about', 'https://de.wikipedia.org/wiki/%C3%89douard_d%E2%80%99Anglemont', 'https://en.wikipedia.org/wiki/%C3%89douard_d%27Anglemont', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/122465245']",2224,gnd
"Anglesy, Madame d'",,4126,gnd
"Angoulême, Louis-Antoine d'Artois, duc d'","['http://catalogue.bnf.fr/ark:/12148/cb12542166t', 'http://dbpedia.org/resource/Louis_Antoine,_Duke_of_Angoul%C3%AAme', 'http://id.loc.gov/rwo/agents/no97004535', 'http://isni.org/isni/000000012143093X', 'http://viaf.org/viaf/89793225', 'http://www.portraitindex.de/dokumente/pnd/120010887', 'http://www.wikidata.org/entity/Q1465751', 'https://d-nb.info/gnd/120010887/about', 'https://de.wikipedia.org/wiki/Louis-Antoine_de_Bourbon%2C_duc_d%E2%80%99Angoul%C3%AAme', 'https://en.wikipedia.org/wiki/Louis_Antoine%2C_Duke_of_Angoul%C3%AAme', 'https://kalliope-verbund.info/gnd/120010887', 'https://www.deutsche-digitale-bibliothek.de/person/gnd/120010887']",4762,gnd
